File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
49C985F553709B74A53805369E1A61D619BDB3444FE0E5A40524B79A2EE96D00.apk,119,158,119,158,0,0
27B1F9B7FA8D5129C009AF9745F2C7F1E63B90F44A3F7D62DF4DEA8A84F78809.apk,244,365,244,365,0,0
E088C586743CE1DEA62F5044FCAB25B3359E323F8B0A62D8D9CE4C980200F1EE.apk,101,111,101,111,0,0
65F11939AC2CAE1D83165C08AFA383E11807A0833E94C89EADE1C4C6F90C1C2F.apk,2133,8845,840,5684,1293,3161
FFA3EA4D6D41358EA553D9F5118C265718BD5455E7ADA9669698FA4E8C545C71.apk,101,111,101,111,0,0
F3D8375E8AF43CB681132EE1E03F79A319F7E9E3DFD447678C94CE786493E2E7.apk,101,111,101,111,0,0
F87C13B881D18DBA029F126BABB561BFF54E2C37BA7F42CC0A4943D9804A5C37.apk,2133,8845,840,5684,1293,3161
C94AD2FE38B9CF31E568C2C17AC6CE23F1A349C8CC59E40344DCCDFFE7A9F882.apk,2133,8845,840,5684,1293,3161
A15E299A629F0C3BBBF57625548C3A45A136197D764D61D6302EF4A8F47C38B8.apk,98,104,98,104,0,0
A816BC31231A2A0C5D8D11570CC7824F2652DB8A3D882C6C97156EAD575A6ABA.apk,2133,8845,840,5684,1293,3161
DF9F4CC92BAA3E6B714378ADB8065D787D973E5D8ECA528075D19954C4F61B95.apk,98,104,98,104,0,0
77AE0BEDEF10D9BDE8CBBBB79D9D6D8800A1A0817F1473C3980DB03C41AA0B8E.apk,2782,9410,930,5610,1852,3800
30D1734E97BEA7EF1ADEB435CF585EEBE05FEBD9FCF91C00D95697FCBB2F046E.apk,98,104,98,104,0,0
A67818DADCFC7EF17026F17CEC08AE843D67D5448C7E57C900A433156C5DBAF9.apk,2607,4752,648,1802,1959,2950
3F366B744193BCA4B242A80264B853BC2EF46E7EABD8DEE270DBEF225C416838.apk,101,111,101,111,0,0
BCFE4A54332527F9D34E6B0E5DB0F2F9ABAC62C0E266ABE7E1D7342F719E8148.apk,97,107,97,107,0,0
FD9E587FB6FD5B19FDD2CB6AD1F87D5FCB9F29720B5F7902B9149AA4794E7E53.apk,2133,8845,840,5684,1293,3161
95FF528264D6EA345172EB94CCC4AEFE4E95832849151BF011005E53DC75FB27.apk,101,111,101,111,0,0
BDBF580DDB4278AD696061DF5E59525694D947FE3F125DCF911979147459ACFD.apk,98,104,98,104,0,0
25AEB4877ABCC72014601A364050A35D3D2D1C9756BC789711A7D0E377BC09C2.apk,98,104,98,104,0,0
4A88A4F5A937F14B6E435BD4299E7BDEFC6BB875BA093461F60D376A30959DDB.apk,98,104,98,104,0,0
EA5A67EC2FE09F7E7523EB3AE1CD312F10010F02AF2B6E15480311AD1050313F.apk,84,92,84,92,0,0
6978B260A8B2CF661FCFBDF8CC831BEC5F50CCEE58200D23F61246ECE8CBAE61.apk,101,111,101,111,0,0
0D812CE0F87E0C2CBC02CE251B70487148E3FA42546F0360F5C63B7FB0452D80.apk,97,107,97,107,0,0
A7856BDBBE60D0E9D2D2FF73D93F171A92AD893263AAB8F8DB7A351301A8A4DB.apk,131,186,131,186,0,0
D8947BC78DD3BE94A42C9A34D1FBE4EC95A5BFCD1CE4353ED44E83F7C2A45689.apk,239,351,239,351,0,0
B396239495EC4BF92827A5E971B04ECC10B4CDC8D9A132ABCEE4385E44DFECF8.apk,84,92,84,92,0,0
0806A27C2EA5D07E145C86D9F23896F8DEAFA07C0AD3F3D569FD47B21374607F.apk,2607,4752,648,1802,1959,2950
5B6FAAC50D49F12FC1917376235284E1F8634042C028EF15582F6269D0D97D85.apk,98,104,98,104,0,0
B2F34C22ACD683B6F0BAE830D67AA63E50976DF9A6749A29E1D0E9310B338B9B.apk,98,104,98,104,0,0
2A1A2D40201E14CBFD0932F792D2C91A9A5B3B825783B8B80CF374FB4B212893.apk,98,104,98,104,0,0
296FC5084BD9F1DE9F12C797BED8B83A526932A1E6A07726B21C4728AA0DB64D.apk,98,104,98,104,0,0
09D4BE598A253428C249B94BB943D17374218815B94B5B911A9B6BDBA46CB5B7.apk,98,104,98,104,0,0
50214582B6A81522B399ABEFE33BF72A2395506955BE56C1455C7135366BC186.apk,98,104,98,104,0,0
097A7B65445ABCF032799AEE3353EE852CFECA21CBBE5BADB8DDEFF94FE1ED24.apk,98,104,98,104,0,0
366D94D1FD552B2A261DAA195042DB28249E5F58E6E46DA5CE521521EA74E162.apk,98,104,98,104,0,0
85256B93A947FFF2650AEE6228115370BB05DBADE64E0315CE5B1454AB049C6B.apk,98,104,98,104,0,0
0744F901437D326AA9224EAF0CF08FAB706E4B56EB78BB6A757E46AF5A025929.apk,98,104,98,104,0,0
829F93FDDEDD28EF97399F2D4FE89D0D256129EDDEC60C675044832EA4E8FA14.apk,98,104,98,104,0,0
09A8DF72764EAF45CE13FDFD20F4A40B194ED5ADD9613D9798232166442B9FAE.apk,98,104,98,104,0,0
970B4380F1D28355F081880D1F9ABABAB47CD3AEEDF05977C083930FE30F14F3.apk,2133,8845,840,5684,1293,3161
8127C7E4CFFE6224FCEABD1164AC096B0AFBE9344C1605557466BD75C911AF2E.apk,2133,8845,840,5684,1293,3161
707488E7FF3B4FB3A88FC7C727A728CA408084C999F9DFEDE7A61818AC20FA45.apk,87,99,87,99,0,0
153AECF716A5769ADE50F4009600477CDB91BC2AF2B2753AF5921E94F8F981A4.apk,97,107,97,107,0,0
DF8046F06A315933FE34FA14CC79FCF6BA678DA55817D28E7D26DD5A7862E409.apk,3482,6496,728,2519,2754,3977
372BF04E02EBA8AA894C89BD19709E22248E840A630B32627BC0F73AAD0488DB.apk,98,104,98,104,0,0
D490A9DA9D32B304D96CC223DC8D2C2DB6B0E43664B5FEEB488D8B6E630FF7A1.apk,98,104,98,104,0,0
A4BCF2CED58E60ED3ACFC4F7F81D357B2553601F2F9746914629E4312E5C0D91.apk,87,99,87,99,0,0
6736B6E50E9C17D8651998541FD6E6E98B3E0CD5883AC931F9B8F1899E7303F4.apk,98,104,98,104,0,0
414F6A7BBC6CAD6CCF554D31440260CA939EDDBC3FDA093BE45F90E13E0E7D1F.apk,131,186,131,186,0,0
AFB776BD38C2719E20DBAF73BD60B66DB3583FADD73E0673541D1A46807CAAB4.apk,2783,9413,930,5610,1853,3803
695723AC666F0C494F1E5669604E6AD427F51EA45F4A7635796BFEB8115405A3.apk,98,104,98,104,0,0
F71FB86B551A08F02D787671BA69D026F8866A2A7EB4240536A84F10A843585E.apk,98,104,98,104,0,0
C7B855FDE13BFCB4D3B5B0F616A6ADD6AF8A8B905F46492CB82ACDCB571D1965.apk,101,111,101,111,0,0
CE962DE6EAED8E207E786170492063463697A96D00B2B67307CCEAD5261734FC.apk,101,111,101,111,0,0
DD30D04CF71F1F75EC15F4F76E950FAADC51430B00CB974AE2E491EB691ACA38.apk,98,104,98,104,0,0
321D0FC4778785A83157ADFD8458FE3574D024663B937FA33657B08F46456DEE.apk,98,104,98,104,0,0
C140E589F8A0C0D4E8CE5F3D7C5E78EDBE576C505FFFD1CE932E75521190360D.apk,84,92,84,92,0,0
8CA326AAC57A5ECDFB98D94C99F207535FE701354A5A3FB83EFD54D284085849.apk,119,158,119,158,0,0
C87DAB894D82519D632C6F73F3D332D58DAEC4BA9AF8851C9D2A121F814F6E90.apk,98,104,98,104,0,0
37EC01BA1534F950BA789E13A5A17E463B19303D3A7858D47200670FBE7430AB.apk,244,365,244,365,0,0
32BB5EEB30BFC4B7D738FBEEFF4163BED6ABDA11180D6F665A02DF82626E41EB.apk,84,92,84,92,0,0
0D7CA62D676CBB12A652EC8EC275B8B2293E5B8133DFCD38419213420E247CD1.apk,11470,26627,804,4307,10666,22320
747F879E05ECC68210ADB2AA5956566FECE37F29B8072EE96A135EC90E7DFD45.apk,9204,12903,863,2261,8341,10642
62095219C60C2CE35BDC7BD62B903C6EA19104B636C85E44DFC91569CD93DDCB.apk,84,92,84,92,0,0
53AC84611B19868FEAD85820D3E15C80A8E21BDE85313136648CAC55858726EA.apk,97,107,97,107,0,0
842E3C27D674A9C5A9951D5278826D7CB8870A3B78DB659B9A100A1DD0099FA7.apk,98,104,98,104,0,0
1C9AE5DC99D17849627F6977F43CA6227EACD6F1E32BB0700DB0F5664A229F61.apk,98,104,98,104,0,0
AAC69CCD28544425FC55BE907139F184368A4EB63C7B215B9C3CDDFA6FD91214.apk,98,104,98,104,0,0
743E6F802E6656CC98A8CACA2D8A7B3F25B850ADEED98F75602B3915F96117E7.apk,9212,12910,863,2261,8349,10649
EFFD27BA76085C7CEF320537E89382B427AEB26FA361E9C05D8FFC3B43F19F2E.apk,101,111,101,111,0,0
16E0748844590A4C167E25903B105EE50797484BEB5221113AC8A80850E62417.apk,101,111,101,111,0,0
BF1BA76C4D7A0A7EEB04BE0EDE1E0E49CC7ACFD82446C730DEB3B0DB7EB186DE.apk,131,186,131,186,0,0
1C1B018EAC19379E709C825028EF90D7BBFBD6FF731EA655D3357DCD9B8BB0CF.apk,119,158,119,158,0,0
B016B004CEA34E2ACB8199F293F88247BE7A5B3902775DDC0B34224BDBCBC71D.apk,11507,26699,802,4298,10705,22401
6B9EA1F2FEDBA3FA383110D52C7E83FD860FD0EF69CF33383B9F186336F840FC.apk,98,104,98,104,0,0
